CustomerID,Age,Gender,SubscriptionType,MonthlyCharges,TenureMonths,SupportTickets,PaymentMethod,SatisfactionScore,UsageHoursPerWeek,Churn
2876-GZYZC,41,Female,Premium,85.95,13,10,UPI,9,4,No
6207-WIOLX,54,Female,Premium,58.6,25,1,Debit Card,1,16,Yes
8587-XYZSF,52,Male,Enterprise,50.55,67,7,Net Banking,4,37,No
3091-FYHKI,61,Male,Basic,35.45,1,9,Credit Card,4,27,Yes
2372-HWUHI,57,Male,Premium,44.35,2,9,Net Banking,3,5,Yes
7799-LGRDP,39,Female,Enterprise,25.7,43,9,UPI,7,15,No
7850-VWJUU,44,Female,Enterprise,75.0,23,4,Debit Card,1,23,No
3774-VBNXY,52,Female,Premium,20.2,64,9,Credit Card,9,3,No
6217-KDYWC,18,Male,Basic,19.6,57,1,Credit Card,8,18,No
0390-DCFDQ,52,Female,Premium,70.45,1,4,UPI,2,26,Yes
3146-MSEGF,54,Female,Basic,88.05,72,7,Credit Card,2,6,No
4080-OGPJL,64,Female,Basic,71.15,8,5,Net Banking,8,17,Yes
1095-WGNGG,31,Female,Basic,101.05,61,2,UPI,1,38,No
2636-SJDOU,20,Male,Basic,84.3,64,7,UPI,7,27,No
1131-QQZEB,18,Male,Premium,23.95,71,8,Credit Card,9,20,No
5716-EZXZN,22,Female,Enterprise,99.05,65,4,UPI,3,6,No
6837-BJYDQ,43,Male,Enterprise,19.6,3,1,Debit Card,7,35,No
2135-RXIHG,31,Male,Enterprise,45.65,1,1,Net Banking,6,12,Yes
6440-DKQGE,56,Male,Enterprise,64.5,30,6,UPI,7,3,No
3466-BYAVD,44,Male,Enterprise,69.5,15,0,Debit Card,7,4,No
3780-YVMFA,26,Female,Enterprise,68.55,8,9,Credit Card,10,4,No
3874-EQOEP,32,Male,Premium,95.0,7,1,UPI,1,4,Yes
1679-JRFBR,32,Female,Basic,108.15,70,9,Debit Card,3,39,No
9073-ZZIAY,43,Male,Enterprise,86.1,62,3,Credit Card,10,21,No
3077-RSNTJ,59,Female,Premium,19.7,6,0,Debit Card,1,2,No
6551-GNYDG,30,Female,Enterprise,80.9,14,3,Credit Card,5,16,No
9167-APMXZ,68,Female,Enterprise,84.15,22,10,Net Banking,3,7,No
2749-CTKAJ,49,Male,Basic,20.15,22,9,UPI,1,19,No
6371-NZYEG,56,Male,Basic,64.25,16,4,Net Banking,2,33,No
7554-NEWDD,66,Male,Basic,25.7,10,8,Net Banking,10,9,No
8992-VONJD,69,Female,Enterprise,56.0,13,0,UPI,5,37,No
0867-MKZVY,49,Female,Enterprise,82.4,20,4,Net Banking,3,17,Yes
4482-EWFMI,21,Female,Enterprise,69.7,2,1,Net Banking,6,27,No
4648-YPBTM,47,Male,Basic,73.9,53,8,Debit Card,9,33,No
2907-ILJBN,54,Female,Premium,20.6,11,5,Credit Card,6,12,No
6345-FZOQH,40,Male,Enterprise,19.9,69,1,Net Banking,2,11,No
3376-BMGFE,56,Female,Enterprise,70.9,4,2,UPI,2,13,Yes
5997-OPVFA,62,Male,Enterprise,89.05,72,7,Debit Card,8,31,No
3445-HXXGF,32,Male,Premium,45.3,58,0,Credit Card,8,13,Yes
1159-WFSGR,60,Female,Enterprise,20.4,16,2,Net Banking,6,38,No
7654-YWJUF,46,Male,Premium,84.25,43,9,Net Banking,10,26,No
1875-QIVME,53,Female,Enterprise,104.4,2,0,UPI,7,31,Yes
6727-IOTLZ,30,Male,Premium,81.95,14,10,Net Banking,1,22,No
0691-JVSYA,49,Female,Enterprise,94.85,53,10,UPI,9,6,Yes
5918-VUKWP,24,Female,Basic,20.55,32,7,Net Banking,5,20,No
1744-JHKYS,68,Female,Basic,24.7,34,0,Net Banking,9,21,No
2656-FMOKZ,39,Female,Basic,74.45,15,4,UPI,2,10,Yes
2070-FNEXE,45,Female,Basic,76.45,7,3,Credit Card,8,19,Yes
5947-SGKCL,19,Female,Enterprise,105.35,15,6,Debit Card,7,35,No
3712-PKXZA,59,Male,Basic,20.55,61,4,UPI,4,26,No
6317-YPKDH,62,Female,Premium,29.95,1,7,Credit Card,3,7,Yes
6582-OIVSP,23,Female,Basic,45.3,1,10,Credit Card,4,37,No
9367-WXLCH,45,Male,Basic,84.5,8,0,UPI,4,8,Yes
5524-KHNJP,45,Male,Basic,74.75,33,4,Debit Card,10,5,No
1918-ZBFQJ,61,Female,Enterprise,79.25,13,3,UPI,10,36,Yes
1024-GUALD,61,Female,Basic,24.8,1,2,Net Banking,8,28,Yes
4827-USJHP,37,Male,Premium,51.8,20,4,Net Banking,4,3,No
8167-GJLRN,47,Male,Basic,30.4,3,9,Credit Card,5,39,No
0956-SYCWG,28,Female,Basic,19.65,13,2,Net Banking,2,8,No
8017-UVSZU,45,Female,Basic,56.6,40,7,Debit Card,4,15,No
7100-FQPRV,42,Male,Premium,71.9,43,2,UPI,7,27,No
2472-OVKUP,56,Male,Basic,91.0,6,0,Debit Card,3,36,Yes
2984-RGEYA,50,Female,Premium,19.75,69,8,Credit Card,1,16,No
9680-NIAUV,18,Female,Premium,109.7,72,8,Net Banking,8,26,No
2146-EGVDT,44,Male,Basic,19.3,59,5,Net Banking,8,4,No
2604-IJPDU,69,Female,Premium,96.55,20,9,UPI,6,12,No
9178-JHUVJ,30,Male,Enterprise,24.1,24,0,Debit Card,7,17,No
6168-YBYNP,58,Male,Basic,111.35,59,7,Debit Card,10,26,No
7255-SSFBC,20,Male,Basic,112.25,72,1,UPI,2,31,No
3645-DEYGF,56,Male,Premium,20.75,1,8,Net Banking,5,15,No
9323-HGFWY,23,Female,Premium,101.9,27,7,Credit Card,7,34,No
8544-GOQSH,25,Female,Basic,80.05,14,2,Credit Card,9,29,No
3363-DTIVD,44,Male,Enterprise,105.55,71,4,UPI,1,9,No
7018-WBJNK,26,Male,Premium,78.3,13,8,UPI,3,14,No
9142-KZXOP,54,Male,Premium,68.85,44,0,UPI,6,36,No
7674-YTAFD,50,Female,Enterprise,79.95,33,8,Debit Card,7,4,No
6348-SNFUS,68,Male,Enterprise,55.45,72,3,Net Banking,6,38,No
1285-OKIPP,59,Male,Basic,79.9,1,3,Net Banking,1,37,Yes
7825-ECJRF,61,Female,Enterprise,106.6,19,3,UPI,4,24,Yes
1347-KTTTA,41,Male,Basic,102.45,64,9,Credit Card,6,17,No
7841-TZDMQ,32,Male,Enterprise,46.0,2,8,Debit Card,8,13,Yes
4195-NZGTA,49,Female,Premium,25.25,1,5,UPI,10,20,No
7157-SMCFK,49,Male,Basic,19.75,61,10,Debit Card,4,17,No
4709-LKHYG,41,Female,Basic,20.0,29,7,UPI,7,27,No
2504-DSHIH,58,Male,Basic,86.8,23,3,Debit Card,3,33,No
0699-NDKJM,69,Female,Enterprise,58.75,57,2,Credit Card,8,21,No
9286-BHDQG,66,Male,Premium,45.25,72,0,Credit Card,1,17,No
0230-WEQUW,66,Male,Basic,56.6,66,9,Credit Card,4,22,No
2040-LDIWQ,69,Male,Basic,84.2,65,6,Credit Card,8,25,No
6496-JDSSB,29,Female,Basic,80.0,8,3,Net Banking,10,3,No
9408-SSNVZ,56,Female,Basic,70.15,4,7,Net Banking,4,27,Yes
4443-EMBNA,19,Female,Premium,24.75,71,2,Debit Card,2,27,No
6469-MRVET,20,Male,Enterprise,20.2,1,0,UPI,2,12,No
0742-MOABM,66,Male,Premium,50.05,4,4,Net Banking,4,15,Yes
5961-VUSRV,54,Female,Basic,19.35,12,1,UPI,4,38,No
6778-JFCMK,66,Male,Premium,50.6,24,2,Debit Card,2,20,No
6341-JVQGF,34,Female,Basic,81.15,31,5,UPI,7,22,No
2232-DMLXU,66,Female,Enterprise,55.2,1,2,Credit Card,6,2,Yes
4811-JBUVU,19,Male,Enterprise,89.9,30,2,Credit Card,3,4,No
0945-TSONX,19,Female,Enterprise,85.3,47,5,Net Banking,8,13,No
2651-ZCBXV,45,Male,Basic,108.0,54,4,Debit Card,8,32,No
3316-UWXUY,40,Male,Premium,93.5,50,9,Net Banking,1,22,No
8937-RDTHP,54,Male,Enterprise,84.6,1,8,Net Banking,3,25,Yes
7083-MIOPC,49,Female,Basic,20.25,72,0,Net Banking,5,27,No
1984-GPTEH,50,Female,Basic,25.15,29,2,Debit Card,2,17,No
1251-KRREG,18,Male,Premium,54.4,2,2,Credit Card,5,6,Yes
0621-JFHOL,36,Female,Enterprise,29.6,10,10,Credit Card,10,16,No
9903-LYSAB,19,Male,Basic,73.15,18,5,Net Banking,3,8,No
0094-OIFMO,61,Female,Premium,95.0,11,7,UPI,9,33,Yes
9227-UAQFT,43,Male,Enterprise,19.75,16,2,Credit Card,1,10,No
7301-ABVAD,49,Female,Premium,86.6,72,2,Credit Card,4,34,No
6614-FHDBO,23,Male,Premium,109.2,72,5,Debit Card,10,19,No
7576-ASEJU,49,Female,Basic,74.7,41,7,Credit Card,6,14,No
9058-HRZSV,21,Female,Basic,94.4,65,5,Credit Card,9,3,No
4522-AKYLR,28,Female,Basic,54.8,13,9,Net Banking,3,23,No
0221-WMXNQ,34,Male,Premium,75.35,4,2,Net Banking,3,40,No
0303-UNCIP,55,Male,Basic,65.0,41,3,Debit Card,5,11,No
9947-OTFQU,41,Male,Premium,74.4,15,0,Debit Card,7,6,Yes
0322-YINQP,22,Male,Premium,48.55,1,7,UPI,5,34,Yes
0959-WHOKV,69,Male,Basic,99.0,42,3,Credit Card,8,1,No
4075-JFPGR,51,Female,Enterprise,93.5,51,5,Net Banking,5,35,No
4629-NRXKX,23,Female,Enterprise,70.4,2,10,Net Banking,7,25,Yes
9514-JDSKI,39,Male,Enterprise,40.2,1,2,Credit Card,6,29,Yes
3282-ZISZV,28,Male,Premium,83.7,32,10,Debit Card,10,23,No
3675-YDUPJ,65,Male,Premium,19.85,10,10,Net Banking,2,18,No
4111-BNXIF,33,Female,Premium,59.55,67,5,Debit Card,3,14,No
7017-VFHAY,50,Female,Basic,115.1,61,10,Net Banking,4,17,No
6655-LHBYW,26,Male,Premium,114.35,50,8,Net Banking,5,2,No
4959-JOSRX,23,Female,Basic,44.6,2,8,UPI,9,31,Yes
5046-NUHWD,33,Female,Basic,45.0,29,9,Net Banking,6,19,No
7273-TEFQD,46,Male,Enterprise,41.15,3,2,Credit Card,1,32,Yes
3606-TWKGI,20,Male,Enterprise,106.9,13,2,Credit Card,3,28,Yes
7529-ZDFXI,37,Male,Enterprise,89.85,57,3,Credit Card,7,8,No
7605-BDWDC,53,Female,Basic,49.85,31,6,Debit Card,8,40,No
1950-KSVVJ,36,Female,Basic,113.3,45,2,Net Banking,7,39,No
0123-CRBRT,43,Female,Basic,88.1,61,9,Debit Card,5,22,No
6292-TOSSS,20,Male,Premium,24.9,50,7,UPI,10,24,No
3197-ARFOY,36,Female,Basic,105.0,19,10,Net Banking,8,38,No
6323-AYBRX,37,Male,Enterprise,19.35,59,7,Credit Card,9,2,Yes
7014-ZZXAW,49,Female,Enterprise,24.25,71,5,UPI,7,19,No
4385-GZQXV,24,Female,Basic,94.45,16,3,UPI,9,2,Yes
7633-MVPUY,69,Male,Basic,59.75,57,10,Net Banking,1,28,No
6366-ZGQGL,58,Male,Enterprise,24.8,1,10,Credit Card,9,32,Yes
4716-HHKQH,50,Male,Basic,107.05,20,4,Debit Card,3,19,No
5940-AHUHD,57,Male,Enterprise,70.6,1,1,Net Banking,6,16,Yes
6432-TWQLB,56,Male,Premium,85.4,5,5,Credit Card,8,30,Yes
4484-GLZOU,35,Female,Enterprise,105.05,52,2,UPI,3,22,Yes
3179-GBRWV,57,Male,Premium,64.95,21,5,Net Banking,4,14,No
8645-KWHJO,18,Male,Basic,55.0,14,4,UPI,7,1,No
4130-MZLCC,28,Female,Basic,50.55,5,1,Credit Card,7,2,No
0314-TKOSI,45,Female,Premium,55.15,6,4,Debit Card,4,22,No
8229-MYEJZ,42,Female,Basic,51.2,10,4,Debit Card,9,33,No
2080-SRCDE,67,Female,Premium,25.4,1,8,UPI,3,15,No
9577-WJVCQ,40,Female,Basic,54.45,68,10,UPI,8,22,No
9512-UIBFX,48,Male,Enterprise,95.15,18,7,UPI,8,40,Yes
6202-DYYFX,47,Female,Basic,76.0,22,6,Net Banking,4,39,No
3808-HFKDE,59,Female,Enterprise,44.35,20,2,Credit Card,7,11,No
5583-SXDAG,52,Male,Enterprise,70.0,1,9,UPI,4,4,Yes
3488-PGMQJ,24,Male,Premium,74.5,8,3,UPI,1,7,Yes
3580-REOAC,33,Male,Basic,44.85,10,5,UPI,1,21,Yes
7534-BFESC,43,Male,Premium,76.1,24,2,Debit Card,1,7,Yes
3727-OWVYD,65,Male,Basic,61.2,35,10,UPI,2,4,No
2294-SALNE,69,Male,Enterprise,86.8,23,8,Credit Card,6,12,No
4847-TAJYI,66,Female,Enterprise,89.35,6,7,Debit Card,10,27,No
1563-IWQEX,19,Female,Basic,19.7,12,5,Credit Card,5,17,No
8203-XJZRC,18,Male,Basic,20.25,1,3,Debit Card,2,20,No
6556-DBKZF,65,Female,Premium,76.05,71,6,Debit Card,8,31,No
6851-WEFYX,29,Male,Basic,100.8,35,10,Net Banking,9,26,No
2985-JUUBZ,22,Male,Basic,74.55,40,2,Debit Card,7,31,No
6390-DSAZX,54,Female,Basic,73.6,1,9,Debit Card,9,35,Yes
0895-LMRSF,49,Male,Premium,64.9,23,7,Credit Card,4,9,No
8098-LLAZX,26,Female,Basic,95.45,4,0,Credit Card,7,5,Yes
8266-VBFQL,58,Male,Enterprise,90.4,4,2,UPI,5,8,No
8181-YHCMF,52,Female,Premium,60.3,68,10,Net Banking,5,21,No
2240-HSJQD,36,Male,Premium,81.85,38,4,Debit Card,3,16,No
1248-DYXUB,65,Male,Enterprise,24.8,52,4,Net Banking,9,16,No
0265-EDXBD,33,Male,Enterprise,74.9,32,9,UPI,10,18,Yes
4115-BNPJY,20,Male,Enterprise,75.55,29,1,Net Banking,5,28,No
3167-SNQPL,37,Male,Basic,101.15,38,9,Debit Card,6,18,No
4091-TVOCN,41,Male,Enterprise,78.75,48,7,Credit Card,3,14,No
1098-TDVUQ,50,Female,Basic,19.25,1,4,Net Banking,10,37,No
7277-OZCGZ,41,Female,Premium,89.05,22,6,Debit Card,7,40,No
1557-EMYVT,69,Female,Premium,115.05,43,6,UPI,9,16,No
2799-ARNLO,28,Female,Enterprise,69.35,5,4,Debit Card,9,21,No
7563-BIUPC,66,Male,Basic,80.6,5,7,Net Banking,10,1,Yes
5027-YOCXN,25,Male,Enterprise,110.05,51,8,Debit Card,10,11,No
3973-SKMLN,53,Male,Enterprise,19.9,71,3,Debit Card,5,11,No
2321-OMBXY,55,Female,Basic,80.3,38,3,Net Banking,7,2,Yes
2840-XANRC,57,Male,Enterprise,93.15,24,7,Net Banking,3,32,Yes
6745-JEFZB,37,Male,Premium,91.5,35,0,UPI,6,19,No
5020-ZSTTY,52,Female,Enterprise,82.45,54,3,Debit Card,8,5,Yes
9880-TDQAC,65,Female,Basic,60.0,72,5,Credit Card,8,3,No
8705-WZCYL,42,Male,Basic,44.8,1,3,Net Banking,2,28,No
7102-JJVTX,52,Female,Premium,48.6,9,5,Debit Card,6,26,No
8626-PTQGE,42,Male,Basic,60.05,69,4,Credit Card,7,23,No
4983-CLMLV,46,Female,Basic,102.7,52,8,Credit Card,7,30,No
5701-YVSVF,35,Female,Premium,82.9,11,9,Debit Card,3,8,No
5804-LEPIM,63,Female,Enterprise,70.35,2,8,Debit Card,9,36,Yes
5697-GOMBF,35,Female,Premium,35.9,28,3,Debit Card,2,29,No
2739-CACDQ,19,Female,Enterprise,82.65,17,3,Credit Card,3,13,No
9385-EHGDO,52,Female,Premium,19.85,35,7,Debit Card,2,25,No
9498-FIMXL,33,Female,Enterprise,19.2,8,9,Net Banking,9,22,No
2379-GYFLQ,58,Male,Premium,94.9,46,3,Credit Card,4,33,No
0122-OAHPZ,53,Female,Enterprise,73.85,7,1,Net Banking,2,37,Yes
2868-SNELZ,50,Female,Premium,80.6,2,1,Net Banking,3,7,Yes
4322-RCYMT,21,Male,Enterprise,75.8,68,0,Debit Card,4,23,Yes
6680-NENYN,50,Female,Premium,104.6,43,4,Net Banking,10,6,Yes
2088-IEBAU,31,Female,Basic,88.15,68,5,Debit Card,6,15,No
7982-VCELR,38,Female,Enterprise,94.8,36,8,Credit Card,5,15,No
1343-EHPYB,65,Male,Premium,103.4,63,4,Net Banking,3,40,Yes
6035-BXTTY,37,Female,Enterprise,54.65,32,5,Debit Card,10,34,No
6885-PKOAM,25,Female,Enterprise,85.75,71,5,UPI,8,14,No
7520-HQWJU,24,Female,Premium,67.45,66,2,Debit Card,8,29,No
9639-BUJXT,20,Male,Enterprise,20.5,63,3,UPI,7,16,No
5924-SNGKP,34,Female,Premium,20.25,41,0,Debit Card,3,29,No
0021-IKXGC,50,Female,Basic,72.1,1,3,UPI,1,23,No
2034-GDRCN,65,Female,Enterprise,90.4,2,0,Net Banking,5,10,Yes
8966-SNIZF,29,Female,Basic,19.45,70,4,UPI,1,4,No
6243-OZGFH,68,Female,Enterprise,44.95,23,10,Net Banking,6,12,No
4654-DLAMQ,39,Female,Enterprise,97.0,64,10,Net Banking,7,34,No
0513-RBGPE,39,Male,Enterprise,62.8,37,7,Debit Card,5,4,No
5160-UXJED,63,Male,Premium,44.6,17,7,Net Banking,4,20,No
4115-NZRKS,47,Female,Basic,89.15,7,4,Credit Card,2,28,No
0219-YTZUE,55,Male,Enterprise,84.8,4,9,UPI,5,28,Yes
0623-IIHUG,55,Female,Premium,41.9,21,1,Debit Card,9,6,Yes
4572-DVCGN,62,Female,Enterprise,80.25,10,5,Net Banking,4,14,Yes
